task   id   group   session   trial   condition   trialxcondition   gripFreq
PIT   112   control   second   29    BL   11   12
PIT   112   control   second   30    BL   12   13
PIT   112   control   second   31    CSplus   10   15
PIT   112   control   second   32    CSplus   11   15
PIT   112   control   second   33    CSplus   12   14
PIT   112   control   second   34    CSminus   10   17
PIT   112   control   second   35    CSminus   11   20
PIT   112   control   second   36    CSminus   12   17
PIT   112   control   second   37    CSminus   13   16
PIT   112   control   second   38    CSminus   14   15
PIT   112   control   second   39    CSminus   15   16
PIT   112   control   second   40    BL   13   16
PIT   112   control   second   41    BL   14   13
PIT   112   control   second   42    BL   15   12
PIT   112   control   second   43    CSplus   13   13
PIT   112   control   second   44    CSplus   14   13
PIT   112   control   second   45    CSplus   15   14
PIT   113   control   second   1    BL   1   12
PIT   113   control   second   2    BL   2   20
PIT   113   control   second   3    BL   3   22
PIT   113   control   second   4    CSminus   1   20
PIT   113   control   second   5    CSminus   2   22
PIT   113   control   second   6    CSminus   3   21
PIT   113   control   second   7    CSplus   1   18
PIT   113   control   second   8    CSplus   2   22
PIT   113   control   second   9    CSplus   3   15
PIT   113   control   second   10    CSminus   4   12
PIT   113   control   second   11    CSminus   5   17
PIT   113   control   second   12    CSminus   6   18
PIT   113   control   second   13    BL   4   16
PIT   113   control   second   14    BL   5   18
PIT   113   control   second   15    BL   6   12
PIT   113   control   second   16    CSplus   4   18
PIT   113   control   second   17    CSplus   5   14
PIT   113   control   second   18    CSplus   6   25
PIT   113   control   second   19    CSminus   7   15
PIT   113   control   second   20    CSminus   8   21
PIT   113   control   second   21    CSminus   9   22
PIT   113   control   second   22    CSplus   7   22
PIT   113   control   second   23    CSplus   8   15
PIT   113   control   second   24    CSplus   9   27
PIT   113   control   second   25    BL   7   22
PIT   113   control   second   26    BL   8   22
PIT   113   control   second   27    BL   9   26
PIT   113   control   second   28    CSminus   10   11
PIT   113   control   second   29    CSminus   11   16
PIT   113   control   second   30    CSminus   12   19
PIT   113   control   second   31    CSplus   10   16
PIT   113   control   second   32    CSplus   11   25
PIT   113   control   second   33    CSplus   12   13
PIT   113   control   second   34    BL   10   23
PIT   113   control   second   35    BL   11   25
PIT   113   control   second   36    BL   12   16
PIT   113   control   second   37    CSplus   13   22
PIT   113   control   second   38    CSplus   14   20
PIT   113   control   second   39    CSplus   15   22
PIT   113   control   second   40    CSminus   13   12
PIT   113   control   second   41    CSminus   14   13
PIT   113   control   second   42    CSminus   15   17
PIT   113   control   second   43    BL   13   3
PIT   113   control   second   44    BL   14   6
PIT   113   control   second   45    BL   15   9
PIT   114   control   second   1    CSplus   1   32
PIT   114   control   second   2    CSplus   2   32
PIT   114   control   second   3    CSplus   3   29
PIT   114   control   second   4    BL   1   29
PIT   114   control   second   5    BL   2   28
PIT   114   control   second   6    BL   3   21
PIT   114   control   second   7    CSminus   1   27
PIT   114   control   second   8    CSminus   2   22
PIT   114   control   second   9    CSminus   3   24
PIT   114   control   second   10    CSminus   4   16
PIT   114   control   second   11    CSminus   5   20
PIT   114   control   second   12    CSminus   6   17
PIT   114   control   second   13    BL   4   12
PIT   114   control   second   14    BL   5   19
PIT   114   control   second   15    BL   6   17
PIT   114   control   second   16    CSplus   4   17
PIT   114   control   second   17    CSplus   5   7
PIT   114   control   second   18    CSplus   6   10
PIT   114   control   second   19    CSminus   7   14
PIT   114   control   second   20    CSminus   8   15
PIT   114   control   second   21    CSminus   9   14
PIT   114   control   second   22    BL   7   18
PIT   114   control   second   23    BL   8   13
PIT   114   control   second   24    BL   9   8
PIT   114   control   second   25    CSplus   7   17
PIT   114   control   second   26    CSplus   8   5
PIT   114   control   second   27    CSplus   9   5
PIT   114   control   second   28    CSminus   10   10
PIT   114   control   second   29    CSminus   11   6
PIT   114   control   second   30    CSminus   12   7
PIT   114   control   second   31    BL   10   13
PIT   114   control   second   32    BL   11   8
PIT   114   control   second   33    BL   12   6
PIT   114   control   second   34    CSplus   10   11
PIT   114   control   second   35    CSplus   11   6
PIT   114   control   second   36    CSplus   12   11
PIT   114   control   second   37    CSplus   13   9
PIT   114   control   second   38    CSplus   14   11
PIT   114   control   second   39    CSplus   15   19
PIT   114   control   second   40    CSminus   13   23
PIT   114   control   second   41    CSminus   14   29
PIT   114   control   second   42    CSminus   15   13
PIT   114   control   second   43    BL   13   6
PIT   114   control   second   44    BL   14   11
PIT   114   control   second   45    BL   15   5
PIT   115   control   second   1    CSplus   1   18
PIT   115   control   second   2    CSplus   2   24
PIT   115   control   second   3    CSplus   3   24
PIT   115   control   second   4    BL   1   25
PIT   115   control   second   5    BL   2   25
PIT   115   control   second   6    BL   3   26
PIT   115   control   second   7    CSminus   1   26
PIT   115   control   second   8    CSminus   2   25
PIT   115   control   second   9    CSminus   3   25
PIT   115   control   second   10    CSplus   4   25
PIT   115   control   second   11    CSplus   5   25
PIT   115   control   second   12    CSplus   6   25
PIT   115   control   second   13    CSminus   4   25
PIT   115   control   second   14    CSminus   5   25
PIT   115   control   second   15    CSminus   6   25
PIT   115   control   second   16    BL   4   23
PIT   115   control   second   17    BL   5   23
PIT   115   control   second   18    BL   6   24
PIT   115   control   second   19    CSminus   7   23
PIT   115   control   second   20    CSminus   8   24
PIT   115   control   second   21    CSminus   9   23
PIT   115   control   second   22    BL   7   24
PIT   115   control   second   23    BL   8   23
PIT   115   control   second   24    BL   9   24
PIT   115   control   second   25    CSplus   7   24
PIT   115   control   second   26    CSplus   8   25
PIT   115   control   second   27    CSplus   9   22
PIT   115   control   second   28    CSplus   10   23
PIT   115   control   second   29    CSplus   11   25
PIT   115   control   second   30    CSplus   12   23
PIT   115   control   second   31    CSminus   10   19
PIT   115   control   second   32    CSminus   11   22
PIT   115   control   second   33    CSminus   12   18
PIT   115   control   second   34    BL   10   13
PIT   115   control   second   35    BL   11   15
PIT   115   control   second   36    BL   12   18
PIT   115   control   second   37    CSminus   13   18
PIT   115   control   second   38    CSminus   14   20
PIT   115   control   second   39    CSminus   15   20
PIT   115   control   second   40    BL   13   21
PIT   115   control   second   41    BL   14   19
PIT   115   control   second   42    BL   15   17
PIT   115   control   second   43    CSplus   13   19
PIT   115   control   second   44    CSplus   14   20
PIT   115   control   second   45    CSplus   15   22
PIT   116   control   second   1    CSminus   1   49
PIT   116   control   second   2    CSminus   2   44
PIT   116   control   second   3    CSminus   3   43
PIT   116   control   second   4    BL   1   47
PIT   116   control   second   5    BL   2   48
PIT   116   control   second   6    BL   3   40
PIT   116   control   second   7    CSplus   1   39
PIT   116   control   second   8    CSplus   2   36
PIT   116   control   second   9    CSplus   3   33
PIT   116   control   second   10    CSplus   4   50
PIT   116   control   second   11    CSplus   5   42
PIT   116   control   second   12    CSplus   6   33
PIT   116   control   second   13    CSminus   4   38
PIT   116   control   second   14    CSminus   5   39
PIT   116   control   second   15    CSminus   6   34
PIT   116   control   second   16    BL   4   28
PIT   116   control   second   17    BL   5   37
PIT   116   control   second   18    BL   6   38
PIT   116   control   second   19    CSminus   7   44
PIT   116   control   second   20    CSminus   8   36
PIT   116   control   second   21    CSminus   9   41
PIT   116   control   second   22    CSplus   7   37
PIT   116   control   second   23    CSplus   8   18
PIT   116   control   second   24    CSplus   9   26
PIT   116   control   second   25    BL   7   28
PIT   116   control   second   26    BL   8   28
PIT   116   control   second   27    BL   9   41
PIT   116   control   second   28    BL   10   47
PIT   116   control   second   29    BL   11   43
PIT   116   control   second   30    BL   12   34
PIT   116   control   second   31    CSplus   10   42
PIT   116   control   second   32    CSplus   11   46
PIT   116   control   second   33    CSplus   12   42
PIT   116   control   second   34    CSminus   10   39
PIT   116   control   second   35    CSminus   11   30
PIT   116   control   second   36    CSminus   12   35
PIT   116   control   second   37    CSminus   13   38
PIT   116   control   second   38    CSminus   14   41
PIT   116   control   second   39    CSminus   15   46
PIT   116   control   second   40    CSplus   13   31
PIT   116   control   second   41    CSplus   14   44
PIT   116   control   second   42    CSplus   15   44
PIT   116   control   second   43    BL   13   48
PIT   116   control   second   44    BL   14   44
PIT   116   control   second   45    BL   15   42
PIT   118   control   second   1    CSplus   1   4
PIT   118   control   second   2    CSplus   2   3
PIT   118   control   second   3    CSplus   3   6
PIT   118   control   second   4    BL   1   6
PIT   118   control   second   5    BL   2   6
PIT   118   control   second   6    BL   3   7
PIT   118   control   second   7    CSminus   1   6
PIT   118   control   second   8    CSminus   2   7
PIT   118   control   second   9    CSminus   3   7
PIT   118   control   second   10    CSplus   4   7
PIT   118   control   second   11    CSplus   5   7
PIT   118   control   second   12    CSplus   6   8
PIT   118   control   second   13    CSminus   4   8
PIT   118   control   second   14    CSminus   5   8
PIT   118   control   second   15    CSminus   6   9
PIT   118   control   second   16    BL   4   8
PIT   118   control   second   17    BL   5   9
PIT   118   control   second   18    BL   6   9
PIT   118   control   second   19    BL   7   8
PIT   118   control   second   20    BL   8   8
PIT   118   control   second   21    BL   9   7
PIT   118   control   second   22    CSminus   7   8
PIT   118   control   second   23    CSminus   8   8
PIT   118   control   second   24    CSminus   9   8
PIT   118   control   second   25    CSplus   7   8
PIT   118   control   second   26    CSplus   8   8
PIT   118   control   second   27    CSplus   9   7
PIT   118   control   second   28    CSplus   10   8
PIT   118   control   second   29    CSplus   11   8
PIT   118   control   second   30    CSplus   12   8
PIT   118   control   second   31    CSminus   10   8
PIT   118   control   second   32    CSminus   11   8
PIT   118   control   second   33    CSminus   12   8
PIT   118   control   second   34    BL   10   8
PIT   118   control   second   35    BL   11   8
PIT   118   control   second   36    BL   12   8
PIT   118   control   second   37    CSplus   13   1
PIT   118   control   second   38    CSplus   14   6
PIT   118   control   second   39    CSplus   15   1
PIT   118   control   second   40    BL   13   1
PIT   118   control   second   41    BL   14   0
PIT   118   control   second   42    BL   15   0
PIT   118   control   second   43    CSminus   13   1
PIT   118   control   second   44    CSminus   14   0
PIT   118   control   second   45    CSminus   15   0
PIT   119   control   second   1    CSminus   1   4
PIT   119   control   second   2    CSminus   2   5
PIT   119   control   second   3    CSminus   3   3
PIT   119   control   second   4    BL   1   3
PIT   119   control   second   5    BL   2   4
PIT   119   control   second   6    BL   3   5
PIT   119   control   second   7    CSplus   1   2
PIT   119   control   second   8    CSplus   2   4
PIT   119   control   second   9    CSplus   3   4
PIT   119   control   second   10    BL   4   4
PIT   119   control   second   11    BL   5   3
PIT   119   control   second   12    BL   6   4
PIT   119   control   second   13    CSminus   4   4
PIT   119   control   second   14    CSminus   5   3
PIT   119   control   second   15    CSminus   6   4
PIT   119   control   second   16    CSplus   4   4
PIT   119   control   second   17    CSplus   5   3
PIT   119   control   second   18    CSplus   6   3
PIT   119   control   second   19    CSplus   7   4
PIT   119   control   second   20    CSplus   8   5
PIT   119   control   second   21    CSplus   9   4
PIT   119   control   second   22    BL   7   4
PIT   119   control   second   23    BL   8   2
PIT   119   control   second   24    BL   9   1
PIT   119   control   second   25    CSminus   7   3
PIT   119   control   second   26    CSminus   8   2
PIT   119   control   second   27    CSminus   9   3
PIT   119   control   second   28    CSplus   10   3
PIT   119   control   second   29    CSplus   11   3
PIT   119   control   second   30    CSplus   12   3
PIT   119   control   second   31    CSminus   10   4
PIT   119   control   second   32    CSminus   11   2
PIT   119   control   second   33    CSminus   12   2
PIT   119   control   second   34    BL   10   3
PIT   119   control   second   35    BL   11   3
PIT   119   control   second   36    BL   12   3
PIT   119   control   second   37    CSplus   13   2
PIT   119   control   second   38    CSplus   14   1
PIT   119   control   second   39    CSplus   15   1
PIT   119   control   second   40    CSminus   13   2
PIT   119   control   second   41    CSminus   14   2
PIT   119   control   second   42    CSminus   15   2
PIT   119   control   second   43    BL   13   3
PIT   119   control   second   44    BL   14   3
PIT   119   control   second   45    BL   15   3
PIT   120   control   second   1    BL   1   8
PIT   120   control   second   2    BL   2   9
PIT   120   control   second   3    BL   3   10
PIT   120   control   second   4    CSminus   1   8
PIT   120   control   second   5    CSminus   2   9
PIT   120   control   second   6    CSminus   3   5
PIT   120   control   second   7    CSplus   1   9
PIT   120   control   second   8    CSplus   2   9
PIT   120   control   second   9    CSplus   3   6
PIT   120   control   second   10    BL   4   10
PIT   120   control   second   11    BL   5   9
PIT   120   control   second   12    BL   6   9
PIT   120   control   second   13    CSplus   4   5
PIT   120   control   second   14    CSplus   5   6
PIT   120   control   second   15    CSplus   6   5
PIT   120   control   second   16    CSminus   4   2
PIT   120   control   second   17    CSminus   5   4
